target_bank,candidate_filename,candidate_type,candidate_name,similarity_score,is_match_over_80,is_true_positive,is_false_positive,is_self
BanBif,legit_banbif_20251102T194347.png,BANCO (REF),BanBif,1.0000001,True,True,False,True
BanBif,legit_aug_banbif_v1_20251130T221019.png,BANCO (AUG),BanBif,0.9695231,True,True,False,False
BanBif,legit_aug_banbif_v6_20251130T221019.png,BANCO (AUG),BanBif,0.9673433,True,True,False,False
BanBif,legit_aug_banbif_v4_20251130T221019.png,BANCO (AUG),BanBif,0.9667028,True,True,False,False
BanBif,legit_aug_banbif_v5_20251130T221019.png,BANCO (AUG),BanBif,0.9660305,True,True,False,False
BanBif,legit_aug_banbif_v7_20251130T221019.png,BANCO (AUG),BanBif,0.9653426,True,True,False,False
BanBif,legit_aug_banbif_v8_20251130T221019.png,BANCO (AUG),BanBif,0.96173126,True,True,False,False
BanBif,legit_aug_banbif_v9_20251130T221019.png,BANCO (AUG),BanBif,0.9609113,True,True,False,False
BanBif,legit_aug_banbif_v0_20251130T221019.png,BANCO (AUG),BanBif,0.96059966,True,True,False,False
BanBif,legit_aug_banbif_v3_20251130T221019.png,BANCO (AUG),BanBif,0.9548671,True,True,False,False
BanBif,legit_aug_banbif_v2_20251130T221019.png,BANCO (AUG),BanBif,0.9505094,True,True,False,False
BanBif,legit_aug_banco-ciudad-de-buenos-aires_v7_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.8439808,True,False,True,False
BanBif,legit_aug_banco-ciudad-de-buenos-aires_v5_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.8409477,True,False,True,False
BanBif,legit_aug_banco-ciudad-de-buenos-aires_v9_20251130T221022.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.8405472,True,False,True,False
BanBif,legit_aug_banco-ciudad-de-buenos-aires_v8_20251130T221022.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.8403753,True,False,True,False
BanBif,legit_banco-ciudad-de-buenos-aires_20251102T194956.png,BANCO (REF),Banco Ciudad de Buenos Aires,0.8382939,True,False,True,False
BanBif,legit_aug_banco-ciudad-de-buenos-aires_v6_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.83798534,True,False,True,False
BanBif,legit_aug_banco-ciudad-de-buenos-aires_v0_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.83569646,True,False,True,False
BanBif,legit_aug_banco-ciudad-de-buenos-aires_v1_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.83564615,True,False,True,False
BanBif,legit_aug_bbva-colombia_v2_20251130T221006.png,BANCO (AUG),BBVA Colombia,0.83537054,True,False,True,False
BanBif,legit_aug_banco-bice_v3_20251130T221013.png,BANCO (AUG),Banco Bice,0.8349942,True,False,True,False
BanBif,legit_aug_banco-ciudad-de-buenos-aires_v4_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.8346087,True,False,True,False
BanBif,legit_aug_banco-ciudad-de-buenos-aires_v2_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.83423114,True,False,True,False
BanBif,legit_aug_banco-ciudad-de-buenos-aires_v3_20251130T221021.png,BANCO (AUG),Banco Ciudad de Buenos Aires,0.83396995,True,False,True,False
BanBif,legit_aug_bbva-colombia_v4_20251130T221006.png,BANCO (AUG),BBVA Colombia,0.83333045,True,False,True,False
BanBif,legit_banco-bice_20251102T193210.png,BANCO (REF),Banco Bice,0.83122295,True,False,True,False
BanBif,legit_bbva-colombia_20251102T195957.png,BANCO (REF),BBVA Colombia,0.8288176,True,False,True,False
BanBif,legit_aug_bbva-colombia_v5_20251130T221007.png,BANCO (AUG),BBVA Colombia,0.8273752,True,False,True,False
BanBif,legit_aug_banco-bice_v8_20251130T221013.png,BANCO (AUG),Banco Bice,0.82693195,True,False,True,False
BanBif,legit_aug_bbva-colombia_v1_20251130T221006.png,BANCO (AUG),BBVA Colombia,0.82620883,True,False,True,False
BanBif,legit_aug_banco-bice_v2_20251130T221012.png,BANCO (AUG),Banco Bice,0.82492876,True,False,True,False
BanBif,legit_aug_bbva-colombia_v8_20251130T221007.png,BANCO (AUG),BBVA Colombia,0.82346386,True,False,True,False
BanBif,legit_aug_banco-agromercantil_v8_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.82259464,True,False,True,False
BanBif,legit_aug_banco-bice_v7_20251130T221013.png,BANCO (AUG),Banco Bice,0.8219782,True,False,True,False
BanBif,legit_aug_bbva-colombia_v7_20251130T221007.png,BANCO (AUG),BBVA Colombia,0.8209052,True,False,True,False
BanBif,legit_aug_banco-agromercantil_v5_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.81949645,True,False,True,False
BanBif,legit_aug_banco-agromercantil_v6_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.8193225,True,False,True,False
BanBif,legit_aug_banco-bice_v1_20251130T221012.png,BANCO (AUG),Banco Bice,0.81928873,True,False,True,False
BanBif,legit_aug_bbva-colombia_v0_20251130T221006.png,BANCO (AUG),BBVA Colombia,0.81856424,True,False,True,False
BanBif,legit_aug_banco-agromercantil_v3_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.81810904,True,False,True,False
BanBif,legit_aug_banco-popular-costa-rica_v9_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.817752,True,False,True,False
BanBif,legit_aug_banco-bice_v0_20251130T221012.png,BANCO (AUG),Banco Bice,0.8171984,True,False,True,False
BanBif,legit_aug_bbva-colombia_v6_20251130T221007.png,BANCO (AUG),BBVA Colombia,0.8157753,True,False,True,False
BanBif,legit_aug_bbva-colombia_v3_20251130T221006.png,BANCO (AUG),BBVA Colombia,0.8150932,True,False,True,False
BanBif,legit_aug_banco-bice_v9_20251130T221013.png,BANCO (AUG),Banco Bice,0.8147402,True,False,True,False
BanBif,legit_aug_banco-agromercantil_v0_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.81395197,True,False,True,False
BanBif,legit_aug_banco-agromercantil_v4_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.81320524,True,False,True,False
BanBif,legit_aug_banco-bice_v4_20251130T221013.png,BANCO (AUG),Banco Bice,0.81312484,True,False,True,False
BanBif,legit_aug_banco-agromercantil_v2_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.81303614,True,False,True,False
BanBif,legit_aug_bbva-méxico_v0_20251130T221002.png,BANCO (AUG),BBVA México,0.8127361,True,False,True,False
BanBif,legit_aug_bbva-méxico_v7_20251130T221002.png,BANCO (AUG),BBVA México,0.81218225,True,False,True,False
BanBif,legit_aug_bbva-colombia_v9_20251130T221007.png,BANCO (AUG),BBVA Colombia,0.81203455,True,False,True,False
BanBif,legit_aug_banco-popular-costa-rica_v5_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.8117483,True,False,True,False
BanBif,legit_banco-agromercantil_20251102T194301.png,BANCO (REF),Banco Agromercantil,0.8109565,True,False,True,False
BanBif,legit_aug_bbva-méxico_v1_20251130T221002.png,BANCO (AUG),BBVA México,0.8102535,True,False,True,False
BanBif,legit_aug_banco-bice_v6_20251130T221013.png,BANCO (AUG),Banco Bice,0.80995196,True,False,True,False
BanBif,legit_aug_banco-agromercantil_v1_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.80989844,True,False,True,False
BanBif,legit_aug_banamex_v4_20251130T221003.png,BANCO (AUG),Banamex,0.80940926,True,False,True,False
BanBif,legit_aug_banco-agromercantil_v7_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.8089516,True,False,True,False
BanBif,legit_aug_banco-agromercantil_v9_20251130T221019.png,BANCO (AUG),Banco Agromercantil,0.8083381,True,False,True,False
BanBif,legit_aug_scotiabank-perú_v5_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.8068028,True,False,True,False
BanBif,legit_aug_banco-popular-costa-rica_v2_20251130T221016.png,BANCO (AUG),Banco Popular Costa Rica,0.8055534,True,False,True,False
BanBif,legit_aug_banco-guayaquil_v0_20251130T221017.png,BANCO (AUG),Banco Guayaquil,0.80531776,True,False,True,False
BanBif,legit_aug_banco-ficohsa_v6_20251130T221018.png,BANCO (AUG),Banco Ficohsa,0.8038546,True,False,True,False
BanBif,legit_aug_icbc-argentina_v5_20251130T221019.png,BANCO (AUG),ICBC Argentina,0.8037913,True,False,True,False
BanBif,legit_aug_banco-de-chile_v1_20251130T221003.png,BANCO (AUG),Banco de Chile,0.8035495,True,False,True,False
BanBif,legit_aug_banco-de-crédito-e-inversiones_v4_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.80304384,True,False,True,False
BanBif,legit_aug_sudameris-paraguay_v1_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.80302864,True,False,True,False
BanBif,legit_aug_banco-de-crédito-e-inversiones_v6_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.80301017,True,False,True,False
BanBif,legit_aug_banco-continental-paraguay_v4_20251130T221020.png,BANCO (AUG),Banco Continental Paraguay,0.8028502,True,False,True,False
BanBif,legit_aug_banco-bolivariano_v8_20251130T221021.png,BANCO (AUG),Banco Bolivariano,0.8024715,True,False,True,False
BanBif,legit_aug_sudameris-paraguay_v4_20251130T221021.png,BANCO (AUG),Sudameris Paraguay,0.8012827,True,False,True,False
BanBif,legit_aug_banistmo_v6_20251130T221014.png,BANCO (AUG),Banistmo,0.8003507,True,False,True,False
BanBif,legit_aug_scotiabank-perú_v6_20251130T221008.png,BANCO (AUG),Scotiabank Perú,0.80031455,True,False,True,False
BanBif,legit_aug_banco-de-crédito-e-inversiones_v3_20251130T221002.png,BANCO (AUG),Banco de Crédito e Inversiones,0.8002198,True,False,True,False
BanBif,legit_aug_banco-de-chile_v7_20251130T221003.png,BANCO (AUG),Banco de Chile,0.8001642,True,False,True,False
